count;license;deja_en_base;title;sinp_uuid;key;doi;jdd_local;nb_local
1176;CC-BY;non;Données Vigie-Flore;662a5899-42ba-4ca3-b075-c51d45516ba1;662a5899-42ba-4ca3-b075-c51d45516ba1;10.15468/ac5nev;;
1169;CC-BY;non;Rapportage 2001-2006 au titre de la directive Habitats-Faune-Flore - Données de synthèse Espèces issues du rapportage au titre de la directive Habitats - période 2001-2006;33572c56-7266-4705-83df-614a94b37606;33572c56-7266-4705-83df-614a94b37606;10.15468/j4mp83;;
1126;CC-BY;non;Liste rouge des Odonates de France-Liste rouge des Odonates de métropole 2016;ae4b9b5c-3395-41f1-8209-5cd4ca778718;ae4b9b5c-3395-41f1-8209-5cd4ca778718;10.15468/ut6fb4;;
1116;CC-BY;non;Marchés de prestations intellectuelles (PI)-Données invertébrés ANA - CENMP;9939e23d-0e4b-4301-a973-481e4aeef437;9939e23d-0e4b-4301-a973-481e4aeef437;10.15468/ws6hf2;;
1101;CC-BY;non;Rapportage 2007-2012 au titre de la directive Habitats-Faune-Flore - Données de synthèse Espèces issues du rapportage au titre de la directive Habitats - période 2007-2012;96a521af-58d0-4913-8b14-8a5d900c3c0d;96a521af-58d0-4913-8b14-8a5d900c3c0d;10.15468/tugutg;;
996;CC-BY;non;Dreal Occitanie- Base Biodiv SINP - Données faune pour le rapportage européen DHFF-DO 2018;29cd9f29-7c76-4e6b-a8b8-78d91eaf49bf;29cd9f29-7c76-4e6b-a8b8-78d91eaf49bf;10.15468/vn42mk;;
993;CC-BY;non;Rapportage 2013-2018 au titre de la directive Habitats-Faune-Flore - Données de synthèse Espèces issues du rapportage au titre de la directive Habitats - période 2013-2018;12f7588e-f812-4da0-85e9-05f655fa538a;12f7588e-f812-4da0-85e9-05f655fa538a;10.15468/ubgty4;;
981;CC-BY;non;Inventaires naturalistes et gestion des espaces naturels du foncier privé d'EDF-Données CEN M-P - EDF;e3ac24e2-43d2-46c3-9304-822af944447d;e3ac24e2-43d2-46c3-9304-822af944447d;10.15468/uupmcn;;
917;CC-BY;non;Bibliographie de la faune, la flore et la fonge de France métropolitaine et outre-mer-Bibliographique de la faune, la flore et la fonge de France métropolitaine et outre-mer;d18935d7-260c-4633-af39-7eb7ee6f1e14;d18935d7-260c-4633-af39-7eb7ee6f1e14;10.15468/cthncb;;
901;CC-BY;non;Programmes de connaissance sur les milieux secs d'Occitanie-Inventaires du CBNPMP sur les pelouses sèches en Midi-Pyrénées;b6bfa037-6c6b-4a9f-955b-16c360228a94;b6bfa037-6c6b-4a9f-955b-16c360228a94;10.15468/jfw9v4;;
893;CC-BY;non;Fichier communal des ongulés;2c4fc27a-8868-4e95-b02d-86302e4ece38;2c4fc27a-8868-4e95-b02d-86302e4ece38;10.15468/sfc7ee;;
878;CC-BY;non;ECTOPYR-Données Natrix maura et Podarcis muralis 03/2020;;880475ad-12a2-4a03-b69b-d5beb6b031cd;10.15468/km649p;;
865;CC-BY;non;Plan régional d’action pour la conservation des plantes messicoles et plantes remarquables des cultures, vignes et vergers en Midi-Pyrénées-Données d'inventaires et suivis des messicoles receuillies par le PNR PA en Midi-Pyrénées;;11b34dde-f473-47c9-8721-67da197c33cf;10.15468/4pmnxw;;
857;CC-BY;non;Partenariats avec les Parcs Naturels Régionaux-Données CEN M-P partenariats PNR;7a56699d-cb2a-4718-8bf7-b1d4860dc101;7a56699d-cb2a-4718-8bf7-b1d4860dc101;10.15468/5b53rw;;
827;CC-BY;non;Inventaire des Messicoles - Inventaire Messicoles (FCBN);c0dd99c3-fa06-499c-949e-aa44d42f2f16;c0dd99c3-fa06-499c-949e-aa44d42f2f16;10.15468/nxikmj;;
777;CC-BY;non;Expertise dans le cadre d'une sollicitation liée à une étude d'impact - Données ANA - CEN Ariège sur les études d'impact;e24e974d-eac5-430a-bd9b-d9ba1edec1a9;e24e974d-eac5-430a-bd9b-d9ba1edec1a9;10.15468/jjyp94;;
767;CC-BY;non;Appui technique et scientifique pour la mise en œuvre du réseau Natura 2000 en Midi-Pyrénées puis Occitanie-Inventaires réalisés par les opérateurs Natura 2000 dans le cadre des DOCOB en Midi-Pyrénées;5efa19ad-0ca2-4af5-a2d4-7f7c42dc880c;5efa19ad-0ca2-4af5-a2d4-7f7c42dc880c;10.15468/mprtds;;
707;CC-BY;non;Données de Mammifères issues de Baznat. Midi-Pyrénées - Données mammifères Midi-Pyrénées enregistrées dans BazNat - Lot 2;eabe9306-fd68-4140-83fc-554da92e6268;eabe9306-fd68-4140-83fc-554da92e6268;10.15468/nwf4qc;;
670;CC-BY;non;Système d’évaluation de l’état des Eaux (SEEE) - Données hydrobiologiques sur l'état des eaux de surface - Système d’évaluation de l’état des Eaux (SEEE) - Diatomées;fb5bea36-859e-47f1-995d-ee8962d96f41;fb5bea36-859e-47f1-995d-ee8962d96f41;10.15468/160k4z;;
655;CC-BY;non;CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de DUSOULIER François;0c7bfc03-a631-46b1-a451-26c8e01bbf66;0c7bfc03-a631-46b1-a451-26c8e01bbf66;10.15468/vfew3b;;
650;CC-BY;non;CS du Breuil Haut - Roumengoux;;72169601-68ca-4832-9039-b0224984dc08;10.15468/38824r;;
638;CC-BY;non;Programmes de connaissance sur les communautés d'invertébrés en Occitanie - Données invertébrés produites par l'OPIE;;7744d8ba-6437-48f7-8f62-2e3e1b0f99fe;10.15468/ukknfz;;
609;CC-BY;non;Amélioration de la connaissance de la flore, la fonge et les habitats naturels sur le territoire de la « plaine » de Midi-Pyrénées-Recherche de taxons rares ou menacées de plantes vasculaires sur le secteur de plaine de Midi-Pyrénées;60353baa-73d0-49ed-acdd-026fd4a78bdc;60353baa-73d0-49ed-acdd-026fd4a78bdc;10.15468/9z7atn;;
604;CC-BY;non;CardObs : Observations naturalistes issues de l'outil CardObs-Données bibliographiques AsFrA;7e3d3488-8380-41c8-a6aa-b60b8da8c86d;7e3d3488-8380-41c8-a6aa-b60b8da8c86d;10.15468/8vkih8;;
571;CC-BY;non;Inventaire des mammifères de France métropolitaine;e7c5a179-b6d7-497e-8fb9-41e0ef1bb21e;e7c5a179-b6d7-497e-8fb9-41e0ef1bb21e;10.15468/obn7xm;;
570;CC-BY;non;Programmes d'Atlas de la biodiversité communale (ABC) - Données ANA - CEN Ariège sur les ABC;ab8d549a-8f56-4b4a-83a6-4f618e15bd85;ab8d549a-8f56-4b4a-83a6-4f618e15bd85;10.15468/ctj3wc;;
568;CC-BY;non;Inventaire des Coléoptères cavernicoles des Pyrénées;7d5170c5-0d99-4f43-8f9c-bd18eb5ef7b5;7d5170c5-0d99-4f43-8f9c-bd18eb5ef7b5;10.15468/dwyyba;;
565;CC-BY;non;Plans régionaux d'Action (PRA) - Données ANA - CEN Ariège sur les PRA;8e59891f-400d-41a7-84b4-720fdaa4fe26;8e59891f-400d-41a7-84b4-720fdaa4fe26;10.15468/4bavk8;;
564;CC-BY;non;CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de PONCET Rémy;b99d0a5a-c490-4840-a786-aa27b05cc49b;b99d0a5a-c490-4840-a786-aa27b05cc49b;10.15468/yiechq;;
548;CC-BY;non;Programmes de connaissance sur les communautés d'invertébrés en Occitanie-Données invertébrés produites par le bureau d'études Nymphalis;;c7043d67-4bad-475f-b525-a279e01b4ad9;10.15468/4dakw3;;
548;CC-BY;non;CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de D'ONOFRIO Patrice;d1620235-125b-45c1-903c-4951428c27a8;d1620235-125b-45c1-903c-4951428c27a8;10.15468/jfptfs;;
540;CC-BY;non;Percnoptère suivi Sabart-Observations naturalistes Percnoptère Sabart;03afcbff-4e77-42ea-b2e5-ef2f5b024ed2;03afcbff-4e77-42ea-b2e5-ef2f5b024ed2;10.15468/w6z5k2;;
534;CC-BY-NC;non;CRBPO : STOC, Baguage;;ab47c4a9-4b6a-4d59-b846-899d9420f7d3;10.15468/8qybjd;;
